id,text,question_type,difficulty_score,topics,text_length,num_options
1,"1. Anusha runs tiffin services in . She uses two inputs in the production of tiffin: labour, x,, and capital, x2. Her production function is f(x, x2) = Sxex, The price of tiffin is $10, the cost of labour is $4, and the cost of capital is $1. a) Are returns to scale increasing, decreasing, or constant for her business? (4 points) b) Is the marginal product of labour and capital increasing or decreasing for her company? What is the technical rate of substitution of production function? (7 points) c) Suppose that, in the short run, the level of capital is fixed at 27. How much labour should she use? How many tiffins will she make? What will her profit be? (7 points) d) To support local businesses, the Kingston government provides a wage subsidy of $2 per unit of labour to businesses. Assuming the level of capital is still fixed at 27, what will Anusha's profitmaximizing amount of labour be? How much profit will her business make? (7 points)",essay,0.19047619047619047,,952,
2,"2. Samurai Construction Company has 1000 workers on their payroll. . a) The payroll work can be done either by using 10 hours of clerical time, x, or by 1 hour of computer time, x2. Write down the production function, f(x,,x2), for the payroll process of 1000 employees. Show your steps. (5 points) b) Suppose the cost of clerical time is w, and the cost of computer time is w2. Write down Samurai Construction Company's conditional demand function for clerks. Also, write down the conditional demand function for computers. (8 points) c) What is Samurai Construction Company's cost function for processing y payrolls if the cost of clerical time is w, and the cost of computer time is w2? (6 points) d) Computer time costs $5 per hour, and clerical time costs $7.50 per hour. Draw a diagram of the isoquant for processing 1000 payroll. On the same diagram, draw an isocost line showing the lowest cost for processing the payroll of 1000 workers. Label the X-axis as clerks and the Y-axis as computers. Clearly show slopes and intercepts. (6 points)",other,0.23809523809523808,,1049,
3,"3. A firm produces its output using two inputs: labour, J, and capital, k. The firm needs to use labour and capital in fixed proportions to produce output. In particular, to produce 2 units of output, the firm needs to combine 2 units of labour with 1 unit of capital. a) What is the firm's production function, f(l, k)? (5 points) b) Suppose the firm wants to produce y units of output, and the cost of using per unit of labour and capital is w, and w,, respectively. What are the firm's conditional factor demand functions for labour, 1(w,, Wz, y), and capital k(w, Wx, y)? (6 points) c) What is the firm's cost function, c(W,, Wx, y)? (6 points) d) Imagine w, = 4 and w, = 8. Draw a diagram of an isoquant for producing 2 units of output, as well as an isocost line representing the lowest cost of producing this output level. Show the optimum point on the diagram. Place labour, !, on the X-axis and capital, k, on the Y-axis. Be sure to label the axes, all the intercepts, the kink point and the slope of the isocost line. (8 points) Sud",other,0.23809523809523808,,1042,
4,"4. Earl sells lemonade in downtown Toronto. His production function is f(2%1,%2) = xjx> , where x, is the number of pounds of lemons he uses and x; is the number of hours he spends squeezing them. Let w, denote the price of lemon per pound and wy, denote the hourly wage rate. Let p denote the market price of lemonade. a) Given w, and wy, derive Earl's cost function c(w,, W2,y). (7 points) b) Let w, = 1 and w, = 4. Suppose the lemonade market in downtown Toronto is competitive. What is Earl's supply function S(p)? (8 points) c) The market price of lemonade is $3. How much lemonade should Earl produce to maximize his profit? How much profit does he make at this optimum? (5 points) d) Suppose Earl has to pay a fixed cost of $4 for electricity only when he produces a positive amount of lemonade. Also, the market price of lemonade changes from $3 to $6. How much lemonade should Earl produce to maximize his profit? How much profit does he make at this optimum? (5 points)",multiple_choice,0.3333333333333333,,979,0.0
1,"1. A firm uses two inputs, labour (x1) and capital (x2) to produce output. The production function for the firm is f(x1,22) = z?ax} and the price of output is $8. (a) Suppose the amount of capital is fixed at 36 in the short run. If the price of labour is w and the price of capital is r how much labour should the firm use to maximize profits in the short run? (8 points) (b) Suppose the price of labour is $1.50 and the price of capital is $1. How much labour should the . firm use? How much would they produce? What are their profits? (5 points) (c) Given the prices in (b), suppose the government announces a 10% tax on business profit, as well as a $0.50 tax on each unit of capital a firm uses. What is the firm's profit maximization problem now? How does this influence how much labour a firm uses? What about production and profits? Carefully explain. (6 points) (d) Draw a diagram of your solution to (b) and (c). Be sure to carefully label all intercepts and slopes in your diagram. (6 points)",multiple_choice,0.32,,1003,0.0
2,"2. Raheem owns a firm that produces bags of dog treats. He can produce 1 bag of dog treats with either 2 units of input 1 (chicken) or can produce 1 bag with a } unit of input 2 (beef). (a) If z; is the amount of chicken and 22 is the amount of beef, what is the firm's production function? Does it have increasing, decreasing, or constant returns to scale? (5 points) (b) Suppose the price of one unit of chicken is $w and the price of one unit of beef is $w2. What are the conditional factor demand functions of each input to produce ""y"" units of output? What is the cost function? (10 points) (c) If w, = 4 and w2 = 2, how much of each input should the firm use to produce ""y"" units of output? Draw a diagram of your solution. (6 points) (d) Is the average cost for this firm increasing, decreasing or constant? What about marginal costs? Draw a diagram of the cost functions with output along the x-axis and AC/MC on the y-axis. (4 points) | 2",multiple_choice,0.2,,947,0.0
3,"3. Julia has decided to start her own small business growing plants in Kingston. She necds to use two inputs, water, 21, and labour, «rz in fixed proportions to grow plants. In particular, to grow 3 plants, - - - - - Julia needs to combine 3 a unit of labour with 3unitsof water, (a) What is her production function, f (x1, 22) for plants? (5 points) (b) Suppose Julia wants to produce y units of output, and the cost. of using per unit of labour and | water is w; and we, respectively. What are Julia's conditional factor demand functions for labour, 21(W1,We,y), and water r2(w1,w2,y)? (6 points) (c) What is the cost function, c(w1, wo, y)? (6 points) (d) Imagine w, + 6 and w2 = 2. Draw a diagram of an isoquant for producing 3 plants, as well as an isocost line representing the lowest cost of producing this output level. Show the optimum point on the diagram. Place labour, 21, on the X-axis and water, x2, on the Y-axis. Be sure to label the axes, all the intercepts, the kink point and the slope of the isocost line. (8 points) . iol 7",multiple_choice,0.2,,1044,0.0
4,"4. A firm produces its output using the production function: f (21, &q) = x} x23, where w, and x are the amounts of iuput 1 and input 2, respectively. Let w, denote the cost of using per unit of input 1 and 'we denote the cost of using per unit of input 2. Let p denote the market price of output. (a) Given w; and we, derive the firm's cost function c(w1, w2,y). (7 points) , ' (b) Let w,; = 4 and w2 = 9. Suppose the firm is operating in a competitive market. What is the firm's supply function S(p)? (8 points) (c) The market price of output is $6. How much output should the firm produce to maximize its profit? How much profit does the firm make at this optimum? (5 points) (1) Now, suppose Whe Ari lias bo pay aquasi-fieed cust af 5 fae Hlevuivily, Also, Lhe inarkel price of output increases from $6 to $12. How much output should the firm produce to maximize its profit? How inuch profit does it make at this optimum? (5 points)",multiple_choice,0.28,,936,0.0
2,"2. Keyser Harmonia has branched out into selling mini cursed pianos. Each piano must be crafted using labour (a1) and wood (22). These must be combined in fixed proportions. In particular the production function is: f(ei.22) = min {43,203}. (a) Does this frm have increasing, decreasing, or constant returns to scale? (2 points) (b) Suppose the cost of labour w; and the cost of wood is wa. What are the conditional factor demand functions of each input to produce ""y"" pianos? Whiaé is the cost function? (6 points) if (c) If the price that he can sell each piano for is $18 (P = 18), wi = 16, and w2 = 8, How many pianos should Keyser Harmonia produce if he is maximizing profit? (use the cost function from (b) (6 points) (d) Is the average cost this firm increasing, decreasing, or constant? What about marginal costs? Draw a diagram of the cost functions with output along the x-axis and AC/MC on the y-axis. (4 points)",multiple_choice,0.18181818181818182,,923,0.0
3,"3. Gertrude Jekyll is an avid gardener. Gertrude considers two ways to grow her flower garden: either planting them herself using her labour (21) or hiring shy guys to plant them using their labour (zz). Either method works - they're perfect substitutes. The production function is: f(x1,22) = 2; + 222, where output is the muuuber of flowers. (a) What is the technical rate of substitution for this production function? (2 points) (b) Suppose she wants to grow y flowers, and the cost of using per unit of Gertrude's labour (21) is w, and the cost per unit of shy guy labour (22) is w. What are Gertrude's conditional factor demand functions for her labour, v1 (a1, w2,¥), and shy guy's labour x9(w1,w2,y)? (8 points) (c) If w) = 3 and we = 8 What is the cost function, ¢(w1,w2,y)? (2 points) (d) Draw a diagram of an isoquant 'for producing 2 flowers, as well as an isocost line representing the lowest. cost of producing this output level. Show the optimum point on the diagram. Place 21, on the X-axis and xa, on the Y-axis. Be sure to label the axes, all the intercepts and slopes. (6 points) koa",multiple_choice,0.18181818181818182,,1101,0.0
4,"4. Peach makes custom artisanal gelato. Her production function is: f (01,22) = ayaj, where x, is the amount of cream and 2 is the amount of sugar. Let w; denote the cost of cream (per unit) and wa be the cost of sugar (per unit). Let p denote the market. price of her gelato. (a) Given w, and wy, derive her cost function c(w,w, y). (7 points) (b) If wy = 4 and uy = 16, what is Peach's supply finction S(p)? (7 points) (c) The market price of output is $64. How much gelato should Peach produce to maximize its profit? How much profit does Peach make at this optimum? (5 points) (d) Now, suppose Peach has to pay a quasi-fixed cost. of $32 for electricity. That is, if Peach makes any gelato at all, she has to pay $16 for electricity but she does not have to pay this if she produces no gelato. At what price should Peach shut down/not produce at. all in the short-run? (4 points)",multiple_choice,0.6363636363636364,,883,0.0
5,5. You can also use this page for extra space...just indicate on the actual question you are doing so. ¢ Thanks for a great term. Best of luck in everything ahead. -Mike,other,,,169,
1,"1. A firm uses labour and machines to produce output according to the production function al f(M,L) = M4Lz Where L is the number of units of labour used and M is the number of machines. The cost of labour is $20 per unit, and the cost of using a machine is $10. The output sells for $100 per unit. a) Does the firm have constant return to scale, decreasing return to scale, or increasing return to scale (4 points) b) Does the firm have constant, increasing, or diminishing marginal product in M and L? (6 points) c) Suppose in the short run, the number of machines is fixed at 16. How much labour should the firm use to maximize the profit? How much profit does the firm make? (7 points) d) Using an isoprofit line as well as the production function, draw a diagram of your solution to (c). Be sure to write out the isoprofit function clearly, and label all intercepts and slopes in your diagram. (8 points)",essay,0.19047619047619047,,908,
2,"2. Joe makes little deer ornaments for lawns. He fully automates the production process, so the only input he uses is wood and plastic (no labour). Joe's production function is given by f (%4,%2) = (2x, + x2)? where x, is the amount of plastic used, and x, is the amount of wood used. a) What is the technical rate of substitution for this production function? (4 points) b) If the price of plastic is $w, and the price of wood is $w2, what are the conditional factor demand functions of each input to produce y deer ornaments? What is the cost function c(W,, W2, y)? (8 points) : c) If w, = 8,w2 = 16, how much of each input should the firm use to produce y deer omaments? Draw a diagram of your solution, make sure you carefully show the isoquant and isocost curves, and label all intercepts and slopes of your lines. (6 points) d) Given the input prices from (c) and a price P, what is Joe's supply function? (7 points)",essay,0.19047619047619047,,922,
3,"3. Julia knows that for her cakes to turn out perfectly, she must use eggs (x,) and sugar (x2) in fixed proportions. She has determined that she can bake 4 perfect cakes when she combines 3 units of eggs with 2 units of sugar. a) What is Julia's production function, f (x1, x2)? (5 points) b) Suppose Julia wants to produce y units of output, and the cost of using per unit of egg and sugar is w,and wp, , respectively. What are the conditional factor demand functions for eggs and sugar? (6 points) c) Using the results above, derive Julia's cost function, c(w,,W2, y). (6 points) d) Imagine w, = 8 and wz = 4. Draw a diagram of an isoquant for producing 4 units of output, as well as an isocost line representing the lowest cost of producing this output level. Show the optimum point on the diagram. Be sure to label the axes, all the intercepts, the kink point and the slope of the isocost line. (8 points)",other,0.23809523809523808,,909,
4,"4. A software company develops mobile apps using the following production function: aa f(%1,%2) = xpxy where x (Programming Hours) represents the number of hours spent by programmers writing code, and xz (Design Assets) represents the quantity of design assets used in app development. Let Ww, denote the hourly wage rate and w, denote the price of using design assets. Let p denote the market price of the mobile app. a) Given w, and wW2, derive the cost function c(w,, W2,y) for this company. (8 points) b) Let w, = 16 and w, = 25. Suppose the software company operates in a competitive market. What's the company's supply function S(p)? (8 points) c) The market price of the mobile app is $240. How much output should the company produce to maximize its profit? How much profit does the company make at this optimum? (3 points) d) Now, suppose the software company has to pay a quasi-fixed cost of $250 for electricity only when it produces a positive amount of output. Also, the market price of the mobile app drops from $240 to $160. How much output should the company produce to maximize its profit? How much profit does the company make at this optimum? (6 points)",essay,0.38095238095238093,,1171,
1,"1. A firm has a production function given by Q=LK'"", where L is labour and K is capital. Draw and appropriately label at least three points on the isoquant for Q=10. For the isoquant prove that MRTS decreases as L increases.",essay,,,224,
2,"2. A firm initially has a production function given by Q=L'?K"". Over time the production function changes to Q=LK. Show that this change in the production function represents technological progress. pages",essay,,,204,
3,"3. ""A firm uses capital, K, and labour, L, to produce output, Q, according to a CobbDouglas production function. An increase in the price of labour will lead the firm to produce using a larger capital-labour ratio and at a higher total cost if the firm chooses to produce the same level of output"" Explain and illustrate whether this statement is true, false or uncertain.",essay,,,372,
4,"4. Agatha produces mystery novels, N, using labour, L, and capital, K, according to the production function N = LK!?. In the short run, Agatha uses four units of capital equipment at a cost of $2,000 per unit. The next best use of Agatha's time is a job where she could earn $30 per hour. Write Agatha's short run production function, her labour demand function and derive her short-run total cost function. pages",other,,,413,
5,"5. A firm produces output according to the production function q=Min{L; 4K}. The firm wishes to produce 100 units of output. Find the cost minimizing bundle of inputs. What is the average cost of producing the output given input price w for labour and r for capital? Section B: Five problems, each worth 15 marks, for a total of 75 marks. Each part of each question is worth five marks.",other,1.0,,386,
1,"1. A perfectly competitive firm has a production function given by q=10L""? K!?, where q is output, L is labour and K is capital. a) Derive the conditional input demand functions of the firm. pages b) Derive the long-run total cost function for the firm. What is the cost of producing 5000 units of output when the price of labour is $25 and the price of capital is $64 per unit? c) In the short-run, the firm uses 9 units of capital. Derive the firm's short-run demand for labour and its short-run total cost function. Given a product price of P, derive the short-run supply function of the firm. pages",other,,,602,
2,"2. The long-run cost function of a firm in a perfectly competitive market is given by C(q)=400g-10q?+.2q?, where q is firm output. Market demand is given by Q>=50,000-50P, where Q is market output and P is price. a) Solve for the long-run equilibrium values of price, output per firm, the number of firms and market output. b) Suppose that market demand increases by 40,000 units at each price. Solve for the new equilibrium values of price, output, output per firm and number of firms in the long-run equilibrium. pages c) If the price of labour that is used in this industry were to increase when product demand increases in part b) what would the shape of the long run industry supply curve be? Briefly explain your reasoning.",multiple_choice,,,729,0.0
3,"3. Consider a duopoly that faces a market demand given by P=8000-20Q, where P is product price and Q is market output. The two firms in the market have cost structures as follows: firm 1 has costs given by C1= 800qi, while firm two has costs given by C2=200q2, where subscripts indicate the respective firms. The output in the market is equal to the sum of the firm outputs. a) Solve for the Cournot equilibrium values of price, market output and firm outputs. pages b) Suppose firm 1 chooses its output level first and firm 2 follows. Solve for the Stackelberg equilibrium values of price, market output and firm outputs. c) Now suppose that firm 1 buys firm 2 and acts as a monopolist in the market. The new firm decides to produce using only the plant of firm 2. Solve for the equilibrium values of price and output. Compare the monopoly output to the market outputs in part a) and part b) on a diagram of the market demand curve. pages",essay,,,939,
4,4. The market for toasters is perfectly competitive and characterized by a demand function of the form Q?=700-6P and a supply function of the form Q5=100+4P. a) Determine the equilibrium values of price and quantity in the market and calculate the elasticities of demand and supply at the equilibrium. b) The government decides to levy a tax on toasters at the rate of 10%. Calculate the new equilibrium prices and output level and explain how the burden of the tax is shared between producers and consumers. Relate this division of the burden to the elasticities calculated in part a). pages c) Now suppose that the supply curve is perfectly inelastic. How does this change how the burden of the tax is shared? Explain using a diagram.,essay,,,736,
5,"5. Consider the payoff matrix below which shows two players each with three strategies. Player 2 A2 B2 C2 Al [25,16 18, 17 20, 18 Player 1 Bl [24,25 17, 28 18, 23 C1 [26,22 | 16,21 16, 19 pages a) Find all Nash equilibria in pure strategies for this simultaneous choice, oneplay game. Explain your reasoning. b) Draw the game in extended form where player 2 chooses first and player 1 follows. What is the outcome of this game? Explain your reasoning. pages c) Can player 1 bribe or threaten player 2 to get an outcome that player 1 prefers? Explain your reasoning.",essay,,,565,
1,"1. Logan owns an independent cafe in Kingston, Onterrible. She uses two inputs in the producde tion of her coffee: labour (x1) and capital (x). Her production function is f(x1,#2) = e723. The price of a coffee is $6, the cost of labour is $2, and the cost of capital is $1. (a) Are returns to scale increasing, decreasing, or constant for this firm? (2 points) (b) Suppose in the short run the amount of capital she has is fixed at 8. How much labour should she use? How much coffee will she produce? How much profit does her cafe make? (4 points) (c) Using an isoprofit line, as well as the production function, draw a diagram of your solution from (b). Be sure to label all intercepts and slopes using your answer from (b). (3 points) (d) In the long run, how much labour should she use? how much capital? How much coffee will she make? What will her profits be? (4 points) (e) The local government implements a program to encourage employment in Kingston by providing a $1 subsidy per unit of labour. What is the profit maximizing amount of each input to use? How much does the firm produce when it is profit maximizing? How much profit does the firm make? (2 points)",multiple_choice,0.25,,1170,0.0
2,"2. Lynn operates a firm that produces butter from 2 types of milk, 1% milk and 2% milk. Her technology can be described by the following production function: f(#1,22) = «1 + 4x2, where x1 denotes the amount of 1% milk and x2 denotes the amount of 2% milk. This production function means that the 1% milk and the 2% milk can be used interchangeably to produce butter according to a certain ratio. (a) Lynn wants to produce 1 unit of butter. If she uses only the 1% milk, how many units of 1% milk does she need? If she uses only the 2% milk, how many units of 2% milk does she need? (2 points) (b) Does the production function have increasing, decreasing, or constant marginal product of the 1% milk? Derive the marginal product MP, of the 1% milk and the marginal product MP, of the 2% milk. Calculate the technical rate of substitution TRS. (4 points) (c) If the price of 1% milk is $3 and the price of 2% milk is $5, to product 2 units of butter, how much of the two inputs should Lynn use to minimize her cost? Draw a graph of the isoquant and isocost line to show this optimal bundle of inputs. Carefully label the intercepts and slopes. (4 points) (d) Suppose the price of 1% milk is w; and the price of 2% milk is wo. Let y denote the amount of butter produced. Derive Lynn's cost function c(wi, w2,y). (3 points) (e) Suppose Lynn can purchase a new type of milk, the 3% milk, at the price w3. The butter transformed from 1 unit of 3% milk is three times as much as that from 1 unit of 1% milk. Derive Lynn's new cost function c(w1,w3,y). (3 points) (Hint: the new production function should have the form f(v1,23) = x1 + ax3 where x3 denotes the 3% milk.)",multiple_choice,0.25,,1662,0.0
3,"3. Ricky and Julian have decided to start their own small business growing plants. They need to use two inputs, labour and water to grow the plants. Their firm has the production function: f (x1, 22) = (min{2x1,6z2})? where 2} is the amount of labour and 22 is the amount of water. (a) If the price of labour is $5, and the price of water is $1, what is the cost of growing ""y"" plants? (4 points) (b) What is the firms marginal cost of growing another plant? (2 points) (c) Suppose the plant growing business is a perfectly (pure) competitive market. The firm has quasi-fixed costs of $5. If the price that they can sell each plant for is $60, how many plants should they grow? how much profit will they make? (4 points) (d) At what price should Ricky and Julian not grow any plants at all? (1 point)",multiple_choice,0.5,,800,0.0
1,"1. Wenbo is a local carpenter who makes tables. His production function for the number of tables he produces is f(21,22) = /£1 + x3 where 2 is the amount of labour and 2» is the amount of wood he uses. His tables sell for $250 per unit. Labour costs $12.50 per unit and wood costs $500 per unit. That is, the variable cost to production is 12.5021 + 500z2. There is also an additional fixed cost for his workshop of $50 that needs to be paid regardless of whether any output is produced. (a) Does this production function have increasing, decreasing, or constant returns to scale? Carefully explain. (2 points) (b) What is the profit equation for this firm? (1 point) (c) What is the profit maximizing amount of each input to use? How much does the firm produce when it is profit maximizing? How much profit does the firm make? (4 points) (d) The government introduces a new tax of 10% profits. What is the after tax profit function? How much of each input does the firm use? How much profit does the firm make after tax? (2 points) (e) Instead of introducing the profit tax in (d), the government decides to add a tax to input 2 of $100 per unit. What is the profit maximizing amount of each input to use? How much does the firm produce when it is profit maximizing? How much profit does the firm make? (2 points)",multiple_choice,0.2857142857142857,,1314,0.0
2,"2. The following problem is about two siblings, Thierry and Vivianne, who love to bake. (a) Vivianne has begun experimenting with substituting ingredients when baking cookies. Her production function for cookies f(21, 22) = 521 + 2%2 where is x is the amount (units) of almond flour and z2 is the amount of coconut flour. The cost of a unit of almond flour is is $2 and the cost of coconut flour is $4. Draw a diagram of an isoquant for producing 30 cookies, as well as an isocost line that represents the lowest cost of producing these cookies. Be sure to label intercepts and slopes of both the isocost and isoquant line. (3 points) (b) Thierry knows that for his cakes to come out perfectly he must use eggs and sugar in fixed proportions. Thierry knows he can get four perfect cakes if he combines 3 units of eggs with exactly 2 units of sugar. What is his production function of cakes? Draw an isoquant for producing 24 cakes. (3 points) (c) What is Thierry's cost function for producing ""y"" cakes if the cost of eggs is w; and the cost of sugar we? (2 points)",multiple_choice,0.42857142857142855,,1065,0.0
3,"3. Tua is a local glass blower who makes holiday ornaments. His production function is f(#1,%2) = (a2 + x3), a nice and smooth production function, where x1 is the amount of labour used and ze is the amount of glass used. (a) Is the marginal product of labour increasing, decreasing, or constant? Carefully explain. (2 points) (b) Set up (but don't solve, yet) the cost minimization problem for this firm to produce ""y"" ornaments if the cost of labour is w; and the cost of glass is w2. (2 points) (c) Assuming the cost of labour is $2 per unit, and the cost of glass is $1 per unit, solve the cost minimization problem for the amounts of labour and glass that minimize the cost of producing ""y"" ornaments. The amount of these inputs should be a function of ""y"" (4 points) ; (d) If the firm was minimizing costs, how much would it cost to produce 1 ornament? (1 point) (e) Is the average cost function of this firm increasing, decreasing or staying constant as the amount of production changes? Carefully explain. (2 points) (Hint: think about the returns to scale of this production function)",multiple_choice,0.2857142857142857,,1093,0.0
1,1. This examination is 3 HOURS in length.,other,,,41,
2,"2. There are four short answer questions, with multiple parts per question.",other,,,75,
3,3. There is no choice. Please answer ALL questions in the answer booklets.,other,,,74,
4,"4. Put your student number on all pages of all answer booklets, including the front.",other,,,84,
5,5. Put your section number on the front page of all answer booklets. (Yiran Gong-001; Rajni Dogra-002) The following aid is allowed: Casio FX-991 calculator GOOD LUCK! PLEASE NOTE: Proctors are unable to respond to queries about the interpretation of exam questions. Do your best to answer exam questions as written. This material is copyrighted and is for the sole use of students registered in ECON 212 and writing this exam. This material shall not be distributed or disseminated. Failure to abide by these conditions is a breach of copyright and may also constitute a breach of academic integrity under the University Senate's Academic Integrity Policy Statement. -------- ee Pages,other,,,685,
1,"1. Wills preferences over butter and Nutella can be represented by the following utility function: u(z,y) = 4c + 3+ 2y, where x denotes his consumption of butter and y denotes his consumption of Nutella. He has $8 to spend on these two goods each day. The price of butter is $1. (a) When the price of Nutella is $1, what is Will's optimal choice of butter and Nutella? (3 points) (b) When the price of Nutella is $6, what is Will's optimal choice of butter and Nutella? (3 points) (c) When the price of Nutella increases from $1 to $6, calculate Will's substitution effect and income effect. (5 points) (d) According to your calculation in (c), is Nutella a normal good or an inferior good? Explain. Is Nutella an ordinary good or a Giffen good? Explain. (4 points)",multiple_choice,0.375,,765,0.0
2,"2. Cameron runs a dessert shop in Napanee. She uses mixers (z;) and machines (x2) to ae make baklavas. Her production function is f(r1,%2) = 2323. The price of baklavas is $20, the price of mixers is $5, and the price of machines is $2. (a) Calculate the marginal product (MP,) for the mixers. Does the production function have increasing, decreasing, or constant marginal product for the mixers? (2 points) (b) Suppose in the short run the amount of machines she has is fixed at 27. How many mixers should she use? How many baklavas will she produce? How much profit will she make? (4 points) (c) Using an isoprofit line, as well as the production function, draw a diagram of your solution from (b). Carefully label all the intercepts and slopes. (3 points) (d) In the long run, how many mixers should she use? How many machines? How many baklavas will she make? (4 points) (e) Suppose that the government decides to provide a $1 subsidy per mixer. What is the profit-maximizing amount of each input to use now? (2 points) Pages",multiple_choice,0.25,,1029,0.0
3,"3. Spark Studio produces commercials for other companies. A 2-minute commercial, for example, needs exactly 5 minutes of filming and 8 minutes of editing. Let x, denote the minutes of filming and x2 denote the minutes of editing. (a) Write down Spark Studio's production function f(x,,¢2). (Hint: it should have the form f (x1, 22) = min{ax,, br2}.) (2 points) (b) Does this production function have constant, increasing, or decreasing returns to scale? (2 points) (c) Suppose that filming costs $45 per minute and that editing costs $10 per minute. To produce a 5-minute commercial, how many minutes of filming and how many minutes of editing does Spark Studio need to minimize the cost? How much is this minimum cost? Draw a graph of the isoquant and isocost line to show this optimal bundle. (5 points) (d) Suppose that filming costs w; per minute and that editing costs w per minute. Let y denote the length (in minutes) of commercials produced. Derive Spark Studio's conditional factor demand functions 21 (wy, wa, y) and £o(w1, we, y) and its cost function c(wi, We, y). (4 points) (e) Rocket Media, another commercial production company, uses a different technology. The length of commercials it produces is equal to the longer of the two: one-third of the length of filming and one-fourth of the length of editing. When w, = 15 and Ww = 10, derive Rocket Media's cost function c(y). (3 points)",multiple_choice,0.25,,1401,0.0
4,"4. Pot & Gold Inc. makes and sells Christmas ornaments in a perfectly competitive market. Its production function is given by f(z, 2) = \/e+ 32, where x denotes the amount of plastic and z denotes the amount of wood. The price of plastic is w, and the price of wood is w2. Let y denote the amount of Christmas ornaments produced and p denote the price of Christmas ornaments (p > 0). (a) Calculate the technical rate of substitution TRS. (1 point) (b) Derive the cost function c(w:, ws, y) for Pot & Gold Inc. (4 points) (c) When w, = 5 and wo = 8, calculate the average cost AC(y) and the marginal cost MC(y). For y > 0, which one is larger, AC(y) or MC(y)? (3 points) (d) When w, = 8 and wo = 9, derive the supply function y(p) for Pot & Gold Inc. (3 points) (e) Suppose that Pot & Gold Inc. has to pay a quasi-fixed cost of $50. When w; = 8 and we = 9, derive the supply function y(p) for Pot & Gold Inc. (3 points)",multiple_choice,0.125,,918,0.0
